cleaned_tweet,class
ampwhen say mean dyke ron wcw httptcovvdummea,0
dont sleep niggah chood charleyhood,0
happppppy birthdayyyy lol niggahs really bitch httptcoyatupbshx,0
ugly ass niggah tf chuu baka anyways niggah look like httptcolvndrdppqt,0
niggah pharrell whatever niggah name dont deserve shit white ass gay song,0
damn whitey youll get kick newest form white privilege httptcozlpfzsitom,0
goes olive garden turns cracker giacier goes black friday shopping turns nigger,0
kirogx gusta typing like retard make person look dumber pretending agree bazinga,0
gtrt maxin_betha humbltonbanks ankle socks general faggots bro,0
aaaaaaaaand begins rt rileydakafka fucking niggers thats kentucky ever,0
youre white arent rolls eyes rt didntdonuffin dreaaalove rip nigga trayvon worthless spear chucker,0
beer queer,0
hoes dyke,0
old hoes ponk dyke outchea girl talk,0
white men pick trucks screaming nigger coach got nerve get mad missed free throw,0
mo govjaynixon let kill crackers kill babies new black panthers hijack ferguson presser httptcozwkoripz,0
professor bet hes starbucks queer,0
samanthakay good enough fag,0
agreasymonkey huntermoore faggot,0
alfieheydrich live south lot pop lives rhode island hardly niggers,0
alicia basically like background music fag,0
americanwhitehm hate nigger,0
americanwhitehm niggers disgust dealt years ago wouldnt problems,0
anuglynigga retarded,0
andreberto cant wait peds roid munching faggot,0
andrewjburns tommy_russell_ homo ass crackers,0
animeking fight ur choice game faggot see happens,0
anony turntolive tweenki_ wrong nigger always causung mischief among ur people,0
anthonycumia totally correct anthony cant livin round dem colored folk day bringin da hood dem propery value,0
antoniofrench youre going kill crackers amp babies new black panthers credibilityshot fergusonriot justicemikebrown,0
arbogucci guys supposed get ass sucked queer,0
aryanliving welcome movement anyone gets even minor publicity queer fed jew well according internet,0
atblackface mrmooncricket uncleunco bobbybotsods fuckthemallcops racistnegro ape fuck u broke ass racist,0
austing like talking faggot nicely way fag,0
austing answer snapchat faggot butthurt,0
ayefuckwoody coryburgess literally eat asshole living actually faggot seem little confused,0
bgally ur faggot teammate brandonprust hits someone late like u say hes yapping yelling u guys def room,0
barackobama marchforinnov send damn beaners back belong n us aint,0
barbodfcb _cblaze oddbeast cracker jack shut fuck,0
beyondtomcat youd like wouldnt fag,0
bidenshairplugs looks like fag time line boring zzzzzz,0
billionairecrow neelahrelates whats wrong white race fuckin coon slaying piece poop please die alone,0
blackmantide lmfao go bed whitey,0
bloggerboxing rianscalia pass fosters faggot,0
bloggerboxing yeawhat maidana made greedy faggot loser atleast broner black,0
bossace sounds_good_bro bloggerboxing yea u stupid faggot im leaving till like pm want ride,0
bossmelle never followed ignorant monkey,0
braxcity maria_obregon_g sophia_freeman citizen said maria spic,0
breeolson gingerbeard nasty nigger whore,0
brenddan_ said bullshit damn niggers,0
brenddan_ wow comin back bitch niggas,0
briana_rashae id like rape bitch posted,0
brice fuck faggot,0
brizgotti new nigga hipster hypebeasts love faggot ass bright colors nike keeps giving want smh,0
buckmse letsargueboxing sand nigger ran kidd,0
buckmse dont like sand nigger entertaining like knockdowns,0
buckmse joe cortez ultimate faggot fight proved,0
buckmse us beaners pissed like robert jew ref stopped,0
buckmse true sand niggers amp bum brits claim hes atg hall fame legend smh,0
cbsthismorning charlierose racist norahodonnell tx trash racist wld u intvw mittromney n ask racist questions itwas disrespectful,0
charlesbarrkley hey sir house nigger uncle tom arent grand ole mississippi rest case,0
campos_uli fag hesgay,0
carelessone styl gotta get dem tweets nig,0
chalecarlo fuck outta go put trash ass ink faggot ass self pussy,0
chalecarlo stay talking defending fuckboy ass boyfriend go suck youre faggot,0
chandailbailey steezeyflow hunturpls need accept fact youre hipster faggots,0
charleeredz gay stfu dumb monkey,0
chasebasford chase god damn faggot,0
checha__ gone nigguh,0
cheesus greyyygoose faaaaggggottttt speaking blonde hair confused youre hypocrite cuz youre faggot,0
chink_ shut chink,0
chris_anzueto josh_mackey call someone faggot say kill pathetic human fucking disgrace,0
christian_esem dont know talking retarded faggot,0
cody_smith true miss yall man yall brothers mikey starting chink lmfao,0
crackerjhak youre fag,0
cssalazar wetback,0
darealalexinla woody_afc rodriguez_ nig fun watch got admit ebola boy speak broken spanish lol,0
dangitstiff look like fucking shrek bitch,0
danielsizelove conrad_mlg get cunt,0
dariendaywalt bitch shut fuck goddam slut bitch whore nigga,0
darienbaby_xoxo jk id fuck dog fuck fish pussy,0
datboyrayt support lesbians support faggots theres difference,0
davethebrave hoe shit bro rt x better rn nigga high,0
deeznutsdoe id hate feeling like faggot punk ass hoe,0
deeznutsdoe wash butthole tongue little faggot,0
defendwallst whatever fuck assholes theyre niggers look alike,0
defendwallst little isis faggots usually bags heads anyway makes bullet placement interesting thru scope,0
derek_kirchner tori_mills fags,0
destrothenoble nekolin purple amp pinkfor faggots want protectedby police instead bearing arms need,0
devilfzyq devilelyie tehdevilclan shut fag,0
djchubbeswagg like retarded wutang clan,0
dolangang beans u beaner,0
dolangang wouldnt know fag,0
donnerkay surlyrevenant enraged lb mike brown lethal weapon legshis hatred police amp whitey added fuel arsenal,0
drfreezeburnn daithidenogla learned many retards find search trending topics,0
drfreezeburnn thats bias objective fact philly fans cunts,0
eleycome_eleygo caykelly movies dont matter long coon shit coons youre nigga,0
englishbrit sounds like good idea want word spread jews niggers commies alike,0
erintaylor brios sure want give free pass every border jumper country two whats wrong,0
evanbecker _triggaplease_ morbidmermaid zooyorkinit _shayisdabomb_ rainbowblake shes nigger,0
evandmyers nineinchessoft redneck attitude people think benghazzi real think fox fake nws real one,0
fardousaa becuz man celebrate bday drreams faggot,0
fitlifemike chanelisabeth hoe dont make put screenshots texts hoe,0
flow jus wanted let yll know hope hurricane kills soca sunday trash lordwillin,0
frankiejgrande ew queer white thirsty bitch,0
frankiejgrande fugly queer white trash,0
frankiejgrande omg gtfo white faggot,0
freddyamazin ratchet looking nigger,0
freeajay understand look like real life dyke right like look like wnba dyke bro sports bra amp bball shorts wearing dyke,0
fromtheshwa yes get twitter lame negros never learned use internet,0
fuckboirik hahahaha youza fuck wigger,0
fugazi leave beaner retard,0
garner_ heyyyyyyyyyyy fag boy gonna watch play,0
genetnbarockbox says old man hope survive another years silly jigga boo monkey,0
glitteredinpink hoe dont tweet,0
godaddy hope guys get attacked supporting sopa bunch dirty snake faggots,0
god_loves_biebs go pray church something fag one cares religious bullshit,0
godsmack_music itunesmusic itunes band white trash white trash would buy album,0
gossipcop julie tell crybaby blacks get someone blk dress white facedniggers always whining,0
grizzboadams wyattnuckels haha ight nig calm yoself,0
grizzboadams fucking block white ass try start shit like fucking queer fuck nigga,0
grizzboadams ight nigga haha fucking queer clear schedule,0
grizzboadams roid rage much faggot,0
gutierrez_alf legit retard,0
harveylevintmz sly want got want got americathey got word nigger want,0
heauxmersimpson im jus tryna vaca away niggers bro,0
heilsidious sion faggot meh ganks pre post ganks still pretty meh hes tank nothing special imo mao,0
herfarm steveworksyou thedemocrats low info redneck dumbasses vote corporate shills idiots like believe dummies,0
herfarm move country teabaggers,0
hollowdadonlom god damn chinks httptcobifgpvgo,0
hovaa_ niggerfood niggerperson nigger,0
hovaa_ ok wat ever u say whitey u prolly never even seen shaft,0
hovaa_ shut lizard faggot nigger cunt,0
hovaa_ ya know slang im racist h porch monkies,0
huffingtonpost faggots page cant theyfaggots offend,0
huffingtonpost im american dont give shits beaners ship beaners back,0
huffingtonpost dont bitch shoot sick whores,0
hunglikerobby_ gay tanning bitch juvie made white,0
huntermoore happy cuz woke white nigger,0
huntermoore nigger,0
idisdummies speak one coherent sentence without sounding like nig seriously,0
iggyazalea joke fugly bitch happy uncle snoop even acknowledged nasty ass lmao,0
iwanthis_heart ok u fat precious lookin ass bitch u big fat back barnyard lookin ass bitch fix grammar u still fat,0
iamshady_ thats even real word must hit blunt started making shit nigger ass lol,0
iemonaids done spell check know meant fat liberal dyke feminist nazi bitches,0
imtoblame fatherless wallet carrying ass video game playing ass negro breh filth way afford date twitterhoney,0
im_thirst randies fags,0
impactparasite fuckin roasted faggot,0
intheovenjews slavecatcher marylene hang ovenjew lot common people waste time nigs jews r r problem,0
infidelalie read suck bacon encrusted middle finger muslim twats,0
itskeeshkapeesh faggot buy dictionary,0
itsmander kfc always gets da colored folk back da cage wit da kfc,0
itsyour_man nothin much cousin touching white trash wigger wannabe bitch boy dick sucking fucking gay bitch,0
jgardenofeden kysportsradio ryanlemond butcountry music listeners really hicks alcoholics,0
jmc jetsgreen tbfan fuck ya little bitch look like mexican sucking cock ur profile,0
joltng niger,0
jpantsdotcom todd__kincannon the__realtony im partial faggothomoboth fairly describes sick twisted assholes,0
jrise g_anderson want fag,0
jrise longlivetylerd fag,0
jrise shut stupid bitch,0
jacobbbacker fag,0
jacobbbacker dont know shit faggot bitch,0
jadegreenleaf fag,0
jaibrooks faggot,0
jaibrooks funny u faggot,0
jaibrooks ur brother looks queer ugly,0
jasonmoriarty remember nephew lucas crying dan saying quit pussy grow pair something dans funny,0
jaytwofly g_mucka good leave stupid faggot,0
jaytwofly huh lol mad nigger mad,0
jewelsanddrugs ladygaga madonna lmao madonnas music sucks yeah youre fucking stupid think gaga better retard,0
jimboberson happy birthday faggot,0
jizzatthescene assume shit hmm cuz u dont know fuck u talking crackers days,0
joedouglas guess blaspheme allah ok pos muzzie huh jewjitsugrl efilnikcufecin darknight,0
joedouglas sit stfu raghead darknight hajihuntingpat,0
joey_d sweet comeback u fuckin herb dnt watch soccer id still wax bitch ass go swallow red soxs kids ur nyc fag,0
juanyeeze damn took dumb spic nearly days respond wuz really good tho beaner,0
juanyeeze shut yo beaner ass spic hop faggot ass back across border little nigga go listen pitbull,0
junglefeverfren fuck u nigger,0
klsouth miss_didi evil hate whitey racist thinks delbert belton deserved maryforbes enemiesofdonnaj stephannanson,0
kamrenee ugly nigger,0
keebithalal loganswarning gotta love islamofascist cow tries make retort age typical muzzie idiocy,0
ken_gth nahh whatever spook spic still dont like good day,0
kenny__wright itsfrankybitch yopapi_chulo high school dont house fucking faggot,0
kevin_mcadams ians retarded,0
kinghov got dyke wit child whse mgr jus hired another girlboy dis week,0
king_albert ceto_ u pulledthat queer shit spon u put homo lol,0
kuntakayne never seen ignorant illiterate pieces shit life bring natl guard amp disperse trash bassem_masri,0
lltrp fucking losers wetbacks sorrynotsorry,0
legionary jomavaesjos ebloa case texas kill niggers might safe,0
leonbaptist idk mouthy spics welfare kids baby daddys,0
levi_page dont bend way queer thanks offer flattering,0
lexvan go back nigeria faggot,0
lil_a youre coon,0
lobstrthinktank yeah people women laff set apart men love real niggas niggers,0
lokihulibele mediacrooks aamaadmiparty mix retards aap maoists terroristscongies delusional retards,0
lovelesslovely kwitchabichen hey aklve im taking black ghetto trash youre blocked nigger,0
makeanothahov faggot crybaby,0
mariancristinax fag b,0
markhalperin wsjopinion barackobama anything trash black president,0
matthometeam know faggot literally thousands people radar homo,0
matt_petrie geta life faggot,0
maxwell_larsen cunt,0
mcwilliamsbrett shut legs hoe,0
menachemdreyfus natlfascist waspnse shit ass shabbat moms pussy u jew bastard ur times coming heil hitler,0
milesm_ shut coon,0
millerlite dont follow everything company white trash,0
mimistheone really seem love sandusky weirdo ur creepy ass cracker,0
mimistheone stop trolling u creepy ass cracker,0
misplaced_momma say da hood white trash,0
misplaced_momma yall whitey gots pay fo da preparations,0
montea_rollin kayysavage wasnt serious bitch bitch niggas named aint fuccing witcho ass making shit,0
morbidmermaid swear god nigger better still hang work got hype,0
morbidmermaid work today niglet,0
mrmooncricket atblackface uncleunco bobbybotsods fuckthemallcops racistnegro ugly gay nigga bitch fucking peace shit,0
mrmooncricket fuckthemallcops atblackface uncleunco bobbybotsods racistnegro yall coons n uncle toms,0
mrmooncricket racistnegro fuck stupid ass coward ass punk bitch faggot ass racist piece shit punk bitch aint worth time,0
mynameshouldbe one problem theres pussies allowed sorry kerrythekilla,0
not_ur_bro niccol_xo lmao nigga shoulda said would balless bc dat cold bitch wont stop blowin meswaagg,0
nyrkelsmads danilonavarro hey fag said aunts said,0
natlfascist waspnse jews white race traitors swept clean aryan race survive,0
newser big fucking dealcry baby niggers,0
nien_nunb search gay redneck episode play,0
notoriousbm gezus__ rodriguez_ getting blocked faggot,0
nyjusdntgaf like nig come home ever want,0
og_harm moetzart duckydynamo look nigger ass nigger shit right,0
ovotiluoverdose flossinlawson niggers,0
officialskai dont tell fuck balls kike nigger cunt tits cocksucker chink spic piss bitch bastard pussy faggot,0
officialskais kill ugly ass monkey looking shit,0
ole_boy meezy yes im white washed dont go around repping hood saying bunch ignorant nig terms,0
oskzilla fuck fag,0
oskzilla fuck niggah gay lol,0
pablyandrew paul mccartney faggot,0
patdollard fuckin muzzie cunts deported savages,0
patriotsorg screw ragheads,0
paulmoon yuristalife justinmiculka fuckin yankees ill months ill meet pussy,0
pecan_b obeymy_realness dryer bad ass eyes fag,0
popdogg back faggot,0
prayforjack new york niggas quick take bitch public boy lol,0
princesslexii fucking coon,0
properetacet fuck mother faggot,0
prophzilla dont hate blew like hipster hate faggots say love music based worst,0
quant retarded bruh lol,0
qui_thepharaoh zapollo mildlydarkskin hes lying faggot used inspect element change number dollars account,0
rsberto dumb haitian fake black faggots go haiti neck,0
rabehchararah lmaoo fag,0
rednationblogga fuck faggots,0
reiddh agree fellow cracker,0
repgutierrez full called children children illegal border jumpers ms gang members,0
repulsivetool band sucked worse live fags guns amp poses,0
reverendgrim titsofanarchy likes dat name dem sand niggers needs know dare place da pecker order,0
revolutionuk_ jesus would love muzzie torturers fucking animal savages,0
richxinxflavor im fag gtfo,0
rileycooper_ nigger fighter huh,0
rniswirvinn lilkev_j ur wrong stupid nigger,0
roscoedash lmao soft ass nigga trying act tough little bitch sit watch sidelines pussy,0
runuldorants faggot sack,0
rylannwilliams whooooo chelsey fuck lol juss bitch,0
sammi_boyden bruh finally roll like rednecks drug dealers,0
sammi_boyden well hes cunt suck ass,0
smasey youre faggot,0
snakehaid wsaleen rducppp _synnseer rebelgirl ur profile one armed nigger,0
staccs_wnt_fold tell coon,0
s_roach happy birthday nicca coon shit responsible way,0
sammytbh whats youtube channel faggot,0
sarakateee faze_rain wouldnt proud faze family hes horrible one two hes ugly trailer trash fazeisgay,0
schulzgrayson dswizzle oh woulda coulda shoulda ass niggas bitch ass nigga u bout oh ban wagging ass nigga catch phase,0
scoutingforfifa theburntchip joelburtfifa jpizzlefifa eye witness joel faggot,0
sexwith_sockson faggot,0
shawnirwin okay closet fag,0
shmalec ya fag,0
shvkxir rickiroma baesongz jayzoverrated ahmed retard mikey special olympic boxing,0
slimgirl_probz das calld usen yo brain retard would whoop yo ass n front da police,0
slothng guarantee things youre white youve never anywhere near real ghetto relative pig,0
softestmuffin _tee torahblaze best believe aint christian slave brainwash black spooks miss white man unlike yoself devil,0
softestmuffin _tee torahblaze end day call yo dumb ass monkey pickananny hoe u luv white devils,0
softestmuffin _tee torahblaze convince u lame nigger liver believes cuz nigger whore,0
soldiereaodgrn dont give flying fuck teabagger piece human garbage like thinks,0
soldiereaodgrn teabagger scum wants threaten people penis extender danger country,0
sophiero medal hate fags wont kill medal thank u privilege let fags live,0
stanleystinks shame selfhating kike jews gds chosen people,0
staristhefuture call gopblackchick house nigger shes racist fathom hypocrisy statement,0
starkfreeordie fuckin want outgt im tired bullshit faggot ass closet racist wannabecommunewithoutrailroad stategt cali,0
stephyrae faggot,0
stephyrae biggest faggot world,0
sterm realjameswoods like call someone nigger theyre black act like nigger,0
stevestockmantx hes friggin idiot say anything redneck teabagger constituants buy love stupid people,0
steven_ratata bye youre queer,0
stonisnipezz joke right youre like ugh wish jap tweeting gook shit jerkin hentai,0
sweetkixx u see lame pic ofmine due infatuation niggers im hebrew fite children satan streets,0
sydneesmalling fuck miley tranny looking damn ass nigga,0
theracistdoctor one less little nigger would grow big nigger,0
tanner_harris_ ive knowing fag,0
taylor_ faggot,0
thechicagobaker stopbeingfamous raniakhalek birds wedlock rate white fathers running away,0
theerniie youre little bitch,0
thekushzombie aww u mad tho successful man lmfao hut hugging faggot,0
therealcvl coryholmes faggots kbye,0
therealjrsmith people like give us bad name disgusting piece shit person nigger,0
the_red_sea shethetruththo say shit face bruh bitch gettin man u dont know business handle yo shit,0
therealgeorgez pussy without guns bitch spic daddy doesnt even respect sperm drop moms stank pussy,0
tielermlg psvch halfassed_ coming rescue retard licking dirty skidmarks internet guys fucktards,0
tretyler_ thats actually nonenglish okiecops filthy white trash criminals,0
treybizzy thought would like cause chi yeah faggot,0
tweetfrmthesole entire pats bandwagon theyre faggots,0
uberfacts studies show youre faggot,0
versanche faggots drive stick,0
vexda go jerk lollis faggot,0
viewfromboxseat shes cunt,0
vinniepolitan kill coons,0
watch_scenario yeah better play ya nigger,0
walmart fuck store bitch,0
wendydavistexas gregabbott_tx support illegals coming spreading disease among americans dream bitch,0
whosjuly hes faggot dont like im side state,0
woody_afc mrgamr maniacx fuck outta faggot wouldnt even fair,0
wyattnuckels grizzboadams shut fuck fag ill beat shit outta,0
wyattnuckels insecure much put insults one tweet fucking dumbass dude id wreck faggot,0
yeiiowbang hate faggot corny,0
yourdudeferg gay fags,0
yungrajee shit ill pay premium get away anything ass hoes,0
zaneisclasker fuck r u talking told u going tell u nigga love white bitch gtf bro,0
zohdaa fags,0
zwaaad fag,0
_andrizzy_ aw drake sit corner cry listen lmfao pussy dick rider drakes cock taste faggot,0
_c_parris_ picture makes look like serious fag justsayin lol,0
_goldwhippp faggots old people people cant drive drunk people,0
_iamken fuck brett farve redneck ass stuckup dont give damn lol campus acting like shit,0
_iamken youll make team niggas trash lol,0
_nadiaxo fags,0
_soulsurvivor_ zakbauer dont problems zak seem like faggot httptconbfaarxvrp,0
_triggaplease_ kanyewest hes faggot,0
_turndowndre jordan__grimes kushdaddycorr trob_waddup thats true idk even convo dumb nigger attention whore,0
_turndowndre kushdaddycorr lmao stupid nigger,0
_xoxokelsey_ hell naw fuck bitches serves right,0
__black_jesus yea forgot talkin degenerate faggot,0
_______o______ faggot,0
__hannerr__ youre faggot,0
_angelaaau hey fag lt,0
_cblaze barbodfcb oddbeast man bitch gonna damn thang u dont like got say unfollow,0
_elennamichelle nope im stuck house full fucking niggers help escape,0
_jeff_hank lgreiner raycewarden bigjohn_studd shut nigger,0
_nk_nak status report making pit stop canada rape bitches,0
_westwest_yall phampel woohoo new black kill cracker babies panthers rescue racist trash thugs ferguson fergusonriot,0
_womanoverboard nigger,0
aasthaxoxo oh shut mouth talkin morning fag,0
aldofelix naw dude wish theyre white trash,0
alexissert leave dyke,0
allsportsbruh say waste draft pick manziel mallet thats im telling delete account youre retarded,0
alyssawiens faggot,0
amandabynes give clothes look like cute dyke,0
amarierubio chink eyed,0
aravosis may jump u ballless dickwad conservative feminist disabled vet bitch wish u luck capital f dloesch,0
ashhruggiero happy birthday queer,0
asshole_king oh drafted gay ass come tv well u welcome redskins nation queers lot niggers,0
asshole_king pats owner kike,0
asshole_king pills nig last years like magic j nig hav died years ago yall first team draft gay,0
atspace nigga hoes suck wayans brothers funny jamie foxx number,0
austin_farrar fucking queer faggot bitch,0
bad_boy_six ksteven ya go wetback eat httptcokfpgzvhg,0
badshah ur pal stlabubadu threat apostate kufargti cld cut ur neck wsword islam ampwatch u squeal like bitch like daniel pearl,0
beesands thats call white trash money,0
bellaangeletti ud still fag lolz,0
bellaangeletti ur fag,0
bitchdicknigga youre fucking nigger,0
bitchkrieg like new avi twitter retarded shows cubs hat stalk profile show new one,0
bnp overrun mongrels zog jews run countries want white man perish,0
bonnoxxx haha bitch ima draw webb bullets round yo fuggin forehead beamthat bitch know reside,0
bonnoxxx nah said fag,0
brrrrangadang nigga know damn well coon,0
cambreezy_ thelittlefella_ spelled faggots e youre cool lol,0
caykelly madisonearhart u guys fags,0
chanelisabeth nigger music,0
chemicalkidss bitch look like fucking white trash trailer park queen lookin man bear pig httptcofqyxljyiet,0
clinchmtn sixonesixband america today rule thumb doubt blame whitey,0
coffincreepxx throw faggot word smh smh smh,0
coughlan youre racist white people whigger antiracist codeword antiwhite antizionist codeword antisemite,0
dantoomey fuck faggot,0
darthdanaa yes retard,0
davidly many fuckin fags even get shouldnt allowed wallet whilst influence haha,0
delaney_guinan faggot needs grow,0
delaney_guinan good job texting back faggot,0
deno_ kaitlyninstne youre reading coon,0
densonkeith people followers followers truth still niggers outlook mind amp,0
denytheprophecy thanks ignoring texts fag,0
dish_answers gots da bet da msnbc wit dat colored reverend listen coloreds else missing,0
djfeds suck dick tacos el negro better,0
dolphrudager dont kids one queers,0
drboycewatkins coons monkeys like disgust minstrel show negro crying shit time youre disgrace everywhere,0
drew mailgal yall hire colored folk work half da day throw da mail da sewer aint done,0
ehasselbeck bi_politics teaching pretend son b pussy son would lace jock strap,0
el_prietito lovexlilyy jigaboos aka homewreckers needs get blocked,0
elchavaloko cares tbh ones shitty dirty argentino amp feather fisted nigger,0
erinscafe hate yankees though right feel like im really good hating,0
femalejokerhoee yeah sucks like fags oh nevermind fags nfl,0
feverspell nyrkelsmads ill dgroupiegossip uk fag means cigarette faggot bundle sticks homo,0
fucktyler fuck spear chucker,0
fucktyler tyler makes think theyre lil nigger baby hoodrats,0
garrett_winker wow u hoe term women,0
gayle_ryan dont hate japs aint forgetting gettin japped either,0
gellebeaux_ whatever hoe bitch fags beat yall sad asses,0
genuinemitzi nonvictional fags,0
georgiathenewsa rosaalbae tits may better looking face makes like asian latina tranny facts,0
georgiathenewsa look like welfare bitch compared latinas date fuck need fashion makeup tips tbh,0
gezus__ maniacx bamse woody_afc mean bro fucking faggot,0
gezus__ die car accident faggot,0
godrocamora faggot,0
gonzalez_sassy ur sassy white trash change ur username,0
gvvenivere learn type ya hillbilly,0
hand_tex drapermark humans evil man cutting tusks beautiful animals chinks think get hard,0
hekterr dont stop half breed im starting learn makes dumb ass,0
hellootitty nigger,0
heyrmbr probs fag vhia,0
heyyayled repeat u white trash,0
holyhker looks like pretty dyke,0
hunterbuch kieffer_jason sbsylvester u pull fucking retard,0
hunterbuch kieffer_jason sbsylvester yo fat ugly ass couldnt even pull ugly bitch school,0
inurselisa blackredsoxfan nice way callin yall honkies,0
illbreatheyouin happy birthday faggot,0
infidelpamelalc im going blame black man since always blame whitey im equal opportunity hater,0
iowahawkblog jjauthor gtdavidmasciotra get past boot camp go active years see really daily liberal pussy,0
itsjaylaaa eat shit nigga bitch turd bag dick beetle,0
jakiekoelewijn nigga whos bitch u fucking cracker get gay ass mentions,0
jayswaggkillah fag,0
jdickerson scottpelley bobschieffer racist ntx trash w norahodonnell hate see particular man wh n butler,0
jennybaquing terms like honkey cracker peckerwood stereotypes white people fucking kids sisters isnt racist sweet,0
jimachterfeld joeo dan_bernsein bernstine chi sox jew fag,0
